game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
8907,1,-1,X,O,0.22919786,0
8908,-1,1,O,X,0.047388088,0
8909,-1,1,X,O,0.2939477,0
8910,1,-1,O,X,0.0065409015,0
8911,1,-1,X,O,0.07514745,0
8912,1,-1,O,X,0.17687175,0
8913,-1,1,X,O,0.858582,0
8914,1,-1,O,X,0.84117985,0
8915,-1,1,X,O,2.8895467e-06,0
8916,1,-1,O,X,0.16938831,0
8917,1,-1,X,O,0.07004574,0
8918,1,-1,O,X,0.060765646,0
8919,1,-1,X,O,0.022620039,0
8920,-1,1,O,X,0.22154306,0
8921,-1,1,X,O,0.027023071,0
8922,-1,1,O,X,0.33175424,0
8923,-1,1,X,O,5.8204937e-06,0
8924,-1,1,O,X,0.5130993,0
8925,-1,1,X,O,0.37985098,0
8926,-1,1,O,X,0.0029737707,0
8927,1,-1,X,O,0.03490532,0
8928,1,-1,O,X,0.017614286,0
8929,1,-1,X,O,2.8762865e-05,0
8930,-1,1,O,X,0.044251177,0
8931,1,-1,X,O,0.8747157,0
8932,1,-1,O,X,0.0018436635,0
8933,-1,1,X,O,0.0336001,0
8934,-1,1,O,X,0.15786253,0
8935,1,-1,X,O,0.0054399064,0
8936,1,-1,O,X,0.43267748,0
8937,1,-1,X,O,0.0021726806,0
8938,1,-1,O,X,0.00052121177,0
8939,1,-1,X,O,0.0013105142,0
8940,-1,1,O,X,0.012378771,0
8941,1,-1,X,O,0.39314893,0
8942,-1,1,O,X,0.0013119977,0
8943,1,-1,X,O,0.050586157,0
8944,1,-1,O,X,0.24772643,0
8945,1,-1,X,O,0.14113545,0
8946,-1,1,O,X,0.0016904648,0
8947,-1,1,X,O,0.028634416,0
8948,1,-1,O,X,0.002807365,0
8949,1,-1,X,O,0.023116147,0
8950,1,-1,O,X,2.1307964,0
8951,-1,1,X,O,0.28218853,0
8952,1,-1,O,X,0.028939389,0
8953,1,-1,X,O,0.00082597905,0
8954,-1,1,O,X,0.09707074,0
8955,1,-1,X,O,0.025917212,0
8956,-1,1,O,X,0.08946802,0
8957,1,-1,X,O,0.0053983685,0
8958,-1,1,O,X,0.0011271463,0
8959,-1,1,X,O,0.29481295,0
8960,-1,1,O,X,0.18167196,0
8961,1,-1,X,O,4.671176e-06,0
8962,1,-1,O,X,0.04632673,0
8963,1,-1,X,O,0.0014777269,0
8964,-1,1,O,X,0.08540555,0
8965,-1,1,X,O,0.09980681,0
8966,-1,1,O,X,0.0060154456,0
8967,1,-1,X,O,0.020569464,0
8968,1,-1,O,X,0.028586566,0
8969,-1,1,X,O,0.016818596,0
8970,0,0,O,X,0.00064213015,0
8971,1,-1,X,O,0.0927388,0
8972,1,-1,O,X,0.08434942,0
8973,-1,1,X,O,0.010783195,0
8974,-1,1,O,X,0.0011438937,0
8975,1,-1,X,O,1.5061244e-07,0
8976,-1,1,O,X,0.00030367996,0
8977,-1,1,X,O,0.012012755,0
8978,-1,1,O,X,0.13053286,0
8979,1,-1,X,O,0.0011442244,0
8980,-1,1,O,X,0.09999144,0
8981,-1,1,X,O,7.754256e-05,0
8982,1,-1,O,X,0.010727387,0
8983,1,-1,X,O,0.070139065,0
8984,-1,1,O,X,0.09062722,0
8985,-1,1,X,O,0.0019571206,0
8986,-1,1,O,X,0.3138762,0
8987,-1,1,X,O,0.0028445215,0
8988,-1,1,O,X,0.095593736,0
8989,-1,1,X,O,0.115667775,0
8990,1,-1,O,X,0.0009316484,0
8991,-1,1,X,O,0.00921412,0
8992,-1,1,O,X,0.2717751,0
8993,-1,1,X,O,0.0067329304,0
8994,-1,1,O,X,1.459234,0
8995,1,-1,X,O,0.025097502,0
8996,1,-1,O,X,0.017859353,0
8997,1,-1,X,O,1.7053172e-06,0
8998,-1,1,O,X,0.0071968753,0
8999,1,-1,X,O,0.00014688625,0
9000,1,-1,O,X,0.00040057453,0
9001,1,-1,X,O,0.31739926,0
9002,-1,1,O,X,0.0033812665,0
9003,1,-1,X,O,0.06895565,0
9004,-1,1,O,X,0.25880396,0
9005,-1,1,X,O,0.20889018,0
9006,-1,1,O,X,0.0074530835,0
9007,-1,1,X,O,0.008735544,0
9008,1,-1,O,X,0.20076923,0
9009,-1,1,X,O,0.121273726,0
9010,-1,1,O,X,0.27924916,0
9011,-1,1,X,O,0.17968805,0
9012,-1,1,O,X,0.0052194693,0
9013,1,-1,X,O,0.10016796,0
9014,-1,1,O,X,0.000745775,0
9015,1,-1,X,O,0.0015656773,0
9016,1,-1,O,X,0.0024200964,0
9017,-1,1,X,O,0.0026380208,0
9018,-1,1,O,X,0.004193959,0
9019,-1,1,X,O,0.01279865,0
9020,-1,1,O,X,0.0028573982,0
9021,1,-1,X,O,0.07884197,0
