game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16552,-1,1,O,X,0.05657261610031128,0
16553,1,-1,X,O,0.08686432242393494,0
16554,1,-1,O,X,0.08846072852611542,0
16555,-1,1,X,O,0.0721510499715805,0
16556,-1,1,O,X,0.0976792722940445,0
16557,1,-1,X,O,0.059830475598573685,0
16558,-1,1,O,X,0.07824107259511948,0
16559,1,-1,X,O,0.10216595232486725,0
16560,1,-1,O,X,0.061930008232593536,0
16561,1,-1,X,O,0.08297748863697052,0
16562,-1,1,O,X,0.06981530040502548,0
16563,1,-1,X,O,0.053799666464328766,0
16564,-1,1,O,X,0.07244876772165298,0
16565,-1,1,X,O,0.07083243876695633,0
16566,-1,1,O,X,0.07195824384689331,0
16567,1,-1,X,O,0.09893949329853058,0
16568,1,-1,O,X,0.09683120995759964,0
16569,1,-1,X,O,0.11459381133317947,0
16570,1,-1,O,X,0.04904293641448021,0
16571,1,-1,X,O,0.07708178460597992,0
16572,-1,1,O,X,0.09889918565750122,0
16573,1,-1,X,O,0.09454983472824097,0
16574,-1,1,O,X,0.07860836386680603,0
16575,-1,1,X,O,0.07335898280143738,0
16576,1,-1,O,X,0.07069579511880875,0
16577,-1,1,X,O,0.10540036857128143,0
16578,1,-1,O,X,0.0783846378326416,0
16579,1,-1,X,O,0.09073081612586975,0
16580,1,-1,O,X,0.12871436774730682,0
16581,1,-1,X,O,0.13066843152046204,0
16582,1,-1,O,X,0.06490690261125565,0
16583,1,-1,X,O,0.08396000415086746,0
16584,-1,1,O,X,0.10196961462497711,0
16585,1,-1,X,O,0.0960616022348404,0
16586,-1,1,O,X,0.06599642336368561,0
16587,1,-1,X,O,0.07841622829437256,0
16588,1,-1,O,X,0.10512286424636841,0
16589,1,-1,X,O,0.09974375367164612,0
16590,-1,1,O,X,0.1027567982673645,0
16591,1,-1,X,O,0.0814213752746582,0
16592,0,0,O,X,0.0641929879784584,0
16593,-1,1,X,O,0.09124012291431427,0
16594,-1,1,O,X,0.09990549087524414,0
16595,1,-1,X,O,0.06943567097187042,0
16596,-1,1,O,X,0.09569735080003738,0
