,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,eps
15749,15750,1,-1,O,X,-1.0,0.406,0.5
15999,16000,1,-1,O,X,-1.0,0.438,0.5
16249,16250,-1,1,O,X,-1.0,0.494,0.5
16499,16500,-1,1,O,X,-1.0,0.418,0.5
16749,16750,-1,1,O,X,-1.0,0.472,0.5
16999,17000,1,-1,O,X,-1.0,0.502,0.5
17249,17250,-1,1,O,X,-1.0,0.444,0.5
17499,17500,0,0,O,X,-1.0,0.358,0.5
17749,17750,-1,1,O,X,-1.0,0.442,0.5
17999,18000,-1,1,O,X,-1.0,0.464,0.5
18249,18250,-1,1,O,X,-1.0,0.462,0.5
18499,18500,-1,1,O,X,-1.0,0.46,0.5
18749,18750,0,0,O,X,-1.0,0.47,0.5
18999,19000,-1,1,O,X,-1.0,0.476,0.5
19249,19250,-1,1,O,X,-1.0,0.464,0.5
19499,19500,-1,1,O,X,-1.0,0.426,0.5
19749,19750,-1,1,O,X,-1.0,0.46,0.5
